community_code,district_code,period_code,indicator_code,indicator_name,value,unit
VR-S-D01-C01,VR-S-D01,2024Q4,URBANIZATION,Urbanization share,0.623,proportion
VR-S-D01-C02,VR-S-D01,2024Q4,POVERTY_INDEX,Multidimensional poverty index,0.365,index_0_1
VR-S-D01-C02,VR-S-D01,2024Q4,URBANIZATION,Urbanization share,0.513,proportion
VR-S-D01-C03,VR-S-D01,2024Q4,POVERTY_INDEX,Multidimensional poverty index,0.494,index_0_1
VR-S-D01-C03,VR-S-D01,2024Q4,URBANIZATION,Urbanization share,0.211,proportion
VR-S-D02-C01,VR-S-D02,2024Q4,POVERTY_INDEX,Multidimensional poverty index,0.257,index_0_1
VR-S-D02-C01,VR-S-D02,2024Q4,URBANIZATION,Urbanization share,0.674,proportion
VR-S-D02-C02,VR-S-D02,2024Q4,POVERTY_INDEX,Multidimensional poverty index,0.424,index_0_1
VR-S-D02-C02,VR-S-D02,2024Q4,URBANIZATION,Urbanization share,0.269,proportion
VR-S-D02-C03,VR-S-D02,2024Q4,POVERTY_INDEX,Multidimensional poverty index,0.477,index_0_1
VR-S-D02-C03,VR-S-D02,2024Q4,URBANIZATION,Urbanization share,0.604,proportion
VR-S-D03-C01,VR-S-D03,2024Q4,POVERTY_INDEX,Multidimensional poverty index,0.253,index_0_1
VR-S-D03-C01,VR-S-D03,2024Q4,URBANIZATION,Urbanization share,0.579,proportion
VR-S-D03-C02,VR-S-D03,2024Q4,POVERTY_INDEX,Multidimensional poverty index,0.312,index_0_1
VR-S-D03-C02,VR-S-D03,2024Q4,URBANIZATION,Urbanization share,0.459,proportion
VR-S-D03-C03,VR-S-D03,2024Q4,POVERTY_INDEX,Multidimensional poverty index,0.492,index_0_1
VR-S-D03-C03,VR-S-D03,2024Q4,URBANIZATION,Urbanization share,0.756,proportion
VR-S-D04-C01,VR-S-D04,2024Q4,POVERTY_INDEX,Multidimensional poverty index,0.345,index_0_1
VR-S-D04-C01,VR-S-D04,2024Q4,URBANIZATION,Urbanization share,0.572,proportion
VR-S-D04-C02,VR-S-D04,2024Q4,POVERTY_INDEX,Multidimensional poverty index,0.64,index_0_1
VR-S-D04-C02,VR-S-D04,2024Q4,URBANIZATION,Urbanization share,0.436,proportion
VR-S-D04-C03,VR-S-D04,2024Q4,POVERTY_INDEX,Multidimensional poverty index,0.172,index_0_1
VR-S-D04-C03,VR-S-D04,2024Q4,URBANIZATION,Urbanization share,0.503,proportion
